Assessment_Unit_Name,Final_Total_Points,Final_Points_Possible,SEZ_ID,SEZ_Type,Final_Percent,Final_Rating,Year
small meadow 23,42.0,48,54.0,Riverine (Perennial),0.875,B,2024
small meadow 24,54.0,72,56.0,Riverine (Perennial),0.75,C,2024
small meadow 25,66.0,72,55.0,Riverine (Perennial),0.9166666666666666,A,2024
small meadow 26,39.0,48,57.0,Riverine (Perennial),0.8125,B,2024
small meadow 27,48.0,48,58.0,Riverine (Perennial),1.0,A,2024
small meadow 28,63.0,72,59.0,Riverine (Perennial),0.875,B,2024
small meadow 29,48.0,48,174.0,Riverine (Perennial),1.0,A,2024
small meadow 3,45.0,48,70.0,Riverine (Perennial),0.9375,A,2024
small meadow 30,48.0,48,175.0,Riverine (Perennial),1.0,A,2024
small meadow 32,51.0,60,51.0,Riverine (Perennial),0.85,B,2024
small meadow 35,36.0,36,49.0,Riverine (Perennial),1.0,A,2024
small meadow 36,30.0,36,52.0,Riverine (Perennial),0.8333333333333334,B,2024
small meadow 40,45.0,48,74.0,Riverine (Perennial),0.9375,A,2024
small meadow 5,42.0,60,29.0,Riverine (Perennial),0.7,C,2024
small meadow 54,51.0,60,22.0,Riverine (Perennial),0.85,B,2024
small meadow 56,42.0,48,46.0,Riverine (Perennial),0.875,B,2024
small meadow 58,48.0,60,173.0,Riverine (Perennial),0.8,B,2024
small meadow 59,54.0,60,14.0,Riverine (Perennial),0.9,A,2024
small meadow 6,42.0,48,17.0,Riverine (Perennial),0.875,B,2024
small meadow 8,54.0,60,69.0,Riverine (Perennial),0.9,A,2024
small meadow 82,39.0,48,232.0,Riverine (Perennial),0.8125,B,2024
small meadow 9,84.0,84,68.0,Riverine (Perennial),1.0,A,2024
small meadow 92,78.0,84,31.0,Riverine (Perennial),0.9285714285714286,A,2024
small meadow 93,33.0,36,33.0,Riverine (Perennial),0.9166666666666666,A,2024
small meadow 96,48.0,60,44.0,Riverine (Perennial),0.8,B,2024
small meadow 98,42.0,48,62.0,Riverine (Perennial),0.875,B,2024
small meadow 99,42.0,48,75.0,Riverine (Perennial),0.875,B,2024
Golden Bear meadows - 1,3.0,12,212.0,Forested,0.25,D,2024
